23 B1=2000, B2=147396, sigma=564801957
270887456726015783 B1=11000, B2=1873422, sigma=1587515117
274139559905778893 B1=11000, B2=1873422, sigma=635092636
310965205960467763 B1=2000, B2=147396, sigma=2771305260
318758800766868871 B1=2000, B2=147396, sigma=1756935511
337360171447644563 B1=2000, B2=147396, sigma=1887677207
396317014106645029 B1=11000, B2=1873422, sigma=3885877244
426565741419741731 B1=2000, B2=147396, sigma=770157929
458372345270309389 B1=11000, B2=1873422, sigma=896017158
479037797668217143 B1=2000, B2=147396, sigma=3094202230
501589315386907603 B1=2000, B2=675370, sigma=3835147398[0m
532373494676821151 B1=11000, B2=1873422, sigma=272575254
540887504423372867 B1=2000, B2=675370, sigma=27087268[0m
610190713123702411 B1=2000, B2=147396, sigma=2166177824
616221213159440557 B1=11000, B2=1873422, sigma=2973648829
677694438091333931 B1=2000, B2=675370, sigma=510561728[0m
765959949827096543 B1=2000, B2=147396, sigma=3915503098
901240202532121883 B1=11000, B2=1873422, sigma=3333704333
1032839749717394323 B1=2000, B2=675370, sigma=1213348312[0m
1519438081088323973 B1=2000, B2=675370, sigma=2600750878[0m
1831528662008164153 B1=11000, B2=1873422, sigma=439483738
1841514244692184991 B1=2000, B2=147396, sigma=3678543428
1842521029800506833 B1=2000, B2=147396, sigma=3837249791
1929662691498978979 B1=11000, B2=1873422, sigma=3244338730
2226077192133999781 B1=2000, B2=147396, sigma=1142088736
2399839220262926231 B1=2000, B2=748686, sigma=1246893223[0m
2427079275660188209 B1=2000, B2=147396, sigma=1987305453
2828293681646068747 B1=11000, B2=1873422, sigma=2353371868
3370446442516641193 B1=2000, B2=675370, sigma=693733420[0m
3799219600521095207 B1=11000, B2=1873422, sigma=376251829
5234146756551871133 B1=2000, B2=147396, sigma=536070512
5416550495105091403 B1=2000, B2=147396, sigma=367176692
6750890149731027281 B1=11000, B2=1873422, sigma=446223023
7424861855269570721 B1=2000, B2=147396, sigma=2473241493
7627999824241894379 B1=11000, B2=1873422, sigma=1125844884
8089968415788202483 B1=2000, B2=748686, sigma=2450005006[0m
8761552105869251917 B1=2000, B2=147396, sigma=3847339939
8835346444013202761 B1=260000000, B2=3178559884516, sigma=1684024138
9179515803028780397 B1=11000, B2=1873422, sigma=2363322601
10111556723126235271 B1=11000, B2=1873422, sigma=907554671
10163470642122932413 B1=11000, B2=1873422, sigma=364730625
11831916407027599153 B1=2000, B2=675370, sigma=3636776285[0m
14091490356197434657 B1=2000, B2=147396, sigma=4071862283
16047325545684031813 B1=2000, B2=675370, sigma=555470664[0m
16710122123893405421 B1=2000, B2=147396, sigma=3024769237
41332389182858292667 B1=2000, B2=675370, sigma=1152055194[0m
41904796099662619829 B1=2000, B2=147396, sigma=3956601030
60268379062083967169 B1=11000, B2=1873422, sigma=815876540
61097885381510587871 B1=11000, B2=1873422, sigma=385561791
78793750311081406661 B1=2000, B2=748686, sigma=183158945[0m
81331272684761503823 B1=2000, B2=147396, sigma=3124816476
94148366007956087743 B1=11000, B2=1873422, sigma=293718485
117891705530428830163 B1=2000, B2=675370, sigma=1606944945[0m
124146444491436288079 B1=11000, B2=1873422, sigma=2518412436
145443157701123393781 B1=11000, B2=1873422, sigma=764026837
177021104690292494683 B1=2000, B2=147396, sigma=3570447969
183562385295122297683 B1=2000, B2=675370, sigma=2699812115[0m
205465371493617329791 B1=2000, B2=147396, sigma=3300980039
210144159199154974403 B1=11000, B2=1873422, sigma=3628851390
236475262970466543971 B1=2000, B2=675370, sigma=3352085416[0m
247780001016938792629 B1=2000, B2=147396, sigma=3039964988
271807735257923856653 B1=11000, B2=1873422, sigma=2680699445
304821509257943525171 B1=2000, B2=147396, sigma=1064180905
331937318876092600969 B1=2000, B2=748686, sigma=2895647120[0m
370581334721373529067 B1=2000, B2=675370, sigma=1895776310[0m
410415291253611271973 B1=2000, B2=147396, sigma=1675030642
474018505680853194169 B1=2000, B2=147396, sigma=3350149083
477357953914794173029 B1=2000, B2=675370, sigma=2401548900[0m
586801569341945843803 B1=2000, B2=147396, sigma=2344665441
715471838565524878741 B1=2000, B2=147396, sigma=2936770175
820555369677891747293 B1=11000, B2=1873422, sigma=2381956609
1013822319555820626583 B1=2000, B2=147396, sigma=3853847811
1200552000941403927031 B1=2000, B2=147396, sigma=956288931
1257764014665864220219 B1=11000, B2=1873422, sigma=996588153
1472956406925284201387 B1=2000, B2=675370, sigma=1364371649[0m
1538013171135058110859 B1=11000, B2=1873422, sigma=1198386589
1588313481545751793489 B1=11000, B2=1873422, sigma=322351665
2077805401585362357791 B1=11000, B2=1873422, sigma=3714346973
2171493610320592887419 B1=11000, B2=1873422, sigma=829860504
2375565209838143753291 B1=2000, B2=147396, sigma=530119637
2449009683622766113807 B1=11000, B2=1873422, sigma=3205562040
2744771628726400293191 B1=11000, B2=1873422, sigma=1288242855
3013513693972074005017 B1=11000, B2=1873422, sigma=1300485028
3075645949887743876473 B1=260000000, B2=3178559884516, sigma=3395161044
3882763784480753710207 B1=11000, B2=1873422, sigma=2714534380
7051857227717871548953 B1=11000, B2=1873422, sigma=717930325
7068087183300854097223 B1=11000, B2=1873422, sigma=1036278549
8436325329611352065551 B1=50000, B2=12746592, sigma=1809555594
12488740182784477666651 B1=2000, B2=675370, sigma=2002327158[0m
12834469573620323273951 B1=50000, B2=12746592, sigma=934656447
13382510430376705643801 B1=2000, B2=748686, sigma=924675975[0m
13813063529573171493143 B1=11000, B2=1873422, sigma=503235338
16995137349186332872429 B1=11000, B2=1873422, sigma=2505888230
18951979425160309673567 B1=11000, B2=1873422, sigma=2518916299
22227425429872582507177 B1=50000, B2=12746592, sigma=593574540
24976406169029623821077 B1=11000, B2=1873422, sigma=3281823338
25312877967215263537169 B1=11000, B2=1873422, sigma=423582395
34754843921002987217959 B1=11000, B2=1873422, sigma=1133428312
42590576726114492904181 B1=2000, B2=147396, sigma=939031180
44908836406214097676481 B1=11000, B2=1873422, sigma=588015229
46043223153296179349711 B1=11000, B2=1873422, sigma=276297330
46604863629298621602511 B1=11000, B2=1873422, sigma=2948806155
46854393787450199552879 B1=11000, B2=1873422, sigma=2810372596
66637434960281023366189 B1=11000, B2=1873422, sigma=2476226345
74772772725249979985911 B1=11000, B2=1873422, sigma=1497793523
104541967658979343757317 B1=50000, B2=12746592, sigma=1899045597
141832350206382384475789 B1=2000, B2=748686, sigma=2973590884[0m
157528008845960529091253 B1=260000000, B2=3178559884516, sigma=2674290581
230429787509173494448993 B1=2000, B2=675370, sigma=3847568613[0m
305548994706734098461959 B1=11000, B2=1873422, sigma=886517770
338628466291571911443173 B1=2000, B2=675370, sigma=1576174717[0m
428223375890650020331193 B1=50000, B2=12746592, sigma=2785131109
430446930010025283359657 B1=50000, B2=12746592, sigma=4025751289
476656027629722143989103 B1=11000, B2=1873422, sigma=1218208979
708543432694880797644611 B1=11000, B2=1873422, sigma=3766083521
769667098198822823259577 B1=11000, B2=1873422, sigma=3716940675
1778308978726897181569283 B1=2000, B2=675370, sigma=1403541938[0m
3332431264662950052212693 B1=50000, B2=12746592, sigma=3526694388
3730846538784544121759021 B1=11000, B2=1873422, sigma=207775087
3979531917500224229195713 B1=2000, B2=675370, sigma=2375618170[0m
6216280238026357746856123 B1=50000, B2=12746592, sigma=2128496140
6687186993703744996830013 B1=2000, B2=675370, sigma=51637505[0m
6957858513208518278364719 B1=260000000, B2=3178559884516, sigma=1663345046
7294470123225022951214627 B1=11000, B2=1873422, sigma=818544195
8895113358739846588272289 B1=11000, B2=1873422, sigma=656273752
9764888516661460966941397 B1=2000, B2=675370, sigma=1601209250[0m
13613524045491881917453357 B1=11000, B2=1873422, sigma=2569413276
15159619400186854877578321 B1=250000, B2=128992510, sigma=3165453275
24693253419349851363407551 B1=11000, B2=1873422, sigma=2817435294
25479812356331931895133393 B1=50000, B2=12746592, sigma=3917279851
27784151189375309468075881 B1=11000, B2=1873422, sigma=418019962
28118498302172551157440321 B1=50000, B2=12746592, sigma=2480528499
29207294579480179585882421 B1=11000, B2=1873422, sigma=2944680922
53001399903878393668750289 B1=50000, B2=12746592, sigma=2267754429
68224231549787331536274677 B1=11000, B2=1873422, sigma=538411275
71162649171876450599822401 B1=11000, B2=1873422, sigma=2893571851
104434695220698803715132629 B1=50000, B2=12746592, sigma=1932228900
162258780291506551444194647 B1=11000, B2=1873422, sigma=384030372
198684847858859659977178099 B1=11000, B2=1873422, sigma=1281551955
271668673870630148393326301 B1=2000, B2=147396, sigma=1860291606
354202719886556551918278361 B1=250000, B2=128992510, sigma=425562010
1151680113682235688781306543 B1=50000, B2=12746592, sigma=2791720088
1298539276634142987555474743 B1=11000, B2=1873422, sigma=3230216604
1318210106558857134079228087 B1=2000, B2=748686, sigma=1010150475[0m
2147234010818668917247766431 B1=50000, B2=12746592, sigma=3638731869
2605125274088472424862462473 B1=50000, B2=12746592, sigma=1053543141
3915631908687304004940223961 B1=250000, B2=128992510, sigma=3647271698
4052104834890239946353137037 B1=11000, B2=1873422, sigma=1704861195
4130193015105951337649333017 B1=250000, B2=128992510, sigma=2848280377
6873334011881997014115390127 B1=11000, B2=1873422, sigma=3963224319
8444057719649325023937870539 B1=250000, B2=128992510, sigma=2133284077
8459354290730277387084712673 B1=50000, B2=12746592, sigma=929611344
14502418260921383490947737561 B1=11000, B2=1873422, sigma=4270613773
17797919003973284038262535911 B1=50000, B2=12746592, sigma=1890176808
19595256920847214432055206117 B1=50000, B2=12746592, sigma=4192912048
28084374696133299663611803711 B1=50000, B2=12746592, sigma=2789306607
33944529131881416226949951743 B1=250000, B2=128992510, sigma=94717295
38310839711438766614552593969 B1=250000, B2=128992510, sigma=2687993617
43077331016825142821478514693 B1=2000, B2=147396, sigma=1217149645
79505051873425600355704675501 B1=50000, B2=12746592, sigma=2877358893
80639200760761021085633818273 B1=250000, B2=128992510, sigma=2823594332
130227368277708713402978210291 B1=250000, B2=128992510, sigma=4213231683
131224369485807524424335622209 B1=250000, B2=128992510, sigma=2772396513
161365322568329688293388063737 B1=50000, B2=12746592, sigma=1857065492
171596603563681814836801951939 B1=250000, B2=128992510, sigma=259956973
291848096141649094588381515841 B1=250000, B2=128992510, sigma=1155264441
379474276953713534101375083271 B1=50000, B2=12746592, sigma=606795414
461187949523636757417973783951 B1=250000, B2=128992510, sigma=2839105412
501073126975745520869197456573 B1=250000, B2=128992510, sigma=1282693590
651321602496223077203528675021 B1=50000, B2=12746592, sigma=2828447840
667848815438496644602775425249 B1=250000, B2=128992510, sigma=2443007655
1609397104148965849700544971573 B1=50000, B2=12746592, sigma=671297254
2850809297215988044431817625021 B1=250000, B2=128992510, sigma=1054223831
5508591546502321289882515168021 B1=50000, B2=12746592, sigma=3739627257
5614731166128853075001456341883 B1=250000, B2=128992510, sigma=3497694882
7176797356030663837193688482587 B1=250000, B2=128992510, sigma=2467350932
8411187151410734949429516846499 B1=260000000, B2=3178559884516, sigma=2487286712
8871575792756196685579961831861 B1=250000, B2=128992510, sigma=2090626300
15999809536415799811745076968011 B1=250000, B2=128992510, sigma=1660026752
30071780708254306732370446836229 B1=250000, B2=128992510, sigma=668914173
35802305117219191882815885593041 B1=50000, B2=12746592, sigma=3585860776
41854151364009067060855175042863 B1=1000000, B2=1045563762, sigma=3329396152
53807501378291471876925942756593 B1=2000, B2=748686, sigma=3620873[0m
54753834014008158222756871785511 B1=250000, B2=128992510, sigma=448680194
55721613862764501831744378811339 B1=50000, B2=12746592, sigma=3292250317
89323509316142490956523137497957 B1=1000000, B2=1045563762, sigma=1203166147
104156290365906525136308839347363 B1=250000, B2=128992510, sigma=791067174
118495419334389551833707012941689 B1=250000, B2=128992510, sigma=1786838953
157392673253341061059807576794469 B1=1000000, B2=1045563762, sigma=1972952334
243957365719807575465040506904051 B1=250000, B2=128992510, sigma=2203347237
332357606237078785423231814686361 B1=260000000, B2=3178559884516, sigma=3472379605
712373807661052133682010672256509 B1=250000, B2=128992510, sigma=2197504448
785104609139512346303905301171549 B1=50000, B2=12746592, sigma=3910474519
1438322782788945658883286866045483 B1=250000, B2=128992510, sigma=2771347920
5823496239392107668271293098755163 B1=250000, B2=128992510, sigma=3233180052
6504220885489704554966248493383781 B1=1000000, B2=1045563762, sigma=59939233
6818401892143581607657646070916081 B1=110000000, B2=776278396540, sigma=434689172
8868062344290992200134175651673791 B1=1000000, B2=1045563762, sigma=3667440554
12467938714894985620376552277782779 B1=260000000, B2=3178559884516, sigma=4165988025
15583346371578135796372475131779349 B1=1000000, B2=1045563762, sigma=3165082825
21221516778182231505430743914412973 B1=260000000, B2=3178559884516, sigma=2518295294
21569901587347233434282156073936667 B1=1000000, B2=1045563762, sigma=2353825944
24463026450148952284697976321371867 B1=1000000, B2=1045563762, sigma=1014351095
25378065926746224793496081319005839 B1=250000, B2=128992510, sigma=4182052534
50240452630601123913849807730570657 B1=3000000, B2=5706890290, sigma=3733024080
51364075672134504280162225978951027 B1=1000000, B2=1045563762, sigma=3362471290
55708995498854416037428427494330757 B1=43000000, B2=240490660426, sigma=3422427336
64611672744808641321110063648429171 B1=260000000, B2=3178559884516, sigma=1537995419
86876323035974989272851436725262491 B1=250000, B2=128992510, sigma=2920348525
95052809400388622966309908579246693 B1=43000000, B2=240490660426, sigma=2609674286
134518567111409640956986335800774501 B1=260000000, B2=3178559884516, sigma=3078785462
136462178621858145983246651841198097 B1=43000000, B2=240490660426, sigma=4079264714
193118037001110223108109803287326771 B1=1000000, B2=1045563762, sigma=3024241232
201265413594481461362159450636255507 B1=250000, B2=128992510, sigma=4112263151
230561605525245550298717213881008439 B1=110000000, B2=776278396540, sigma=3949741655
259547268142248930064373476846436297 B1=250000, B2=128992510, sigma=2850982233
464140671334541633128537130849550793 B1=43000000, B2=240490660426, sigma=3534572485
525979629367134446967627679151603569 B1=1000000, B2=1045563762, sigma=167098710
698225646938987668521752591471888923 B1=250000, B2=128992510, sigma=723998089
1043747950661372051028643228846254511 B1=43000000, B2=240490660426, sigma=3376842065
1207553142685778828505209347410873071 B1=1000000, B2=1045563762, sigma=752978114
1749300354448342472241891942580057369 B1=850000000, B2=15892628251516, sigma=2555425060
2259864614896157251149056187655145909 B1=110000000, B2=776278396540, sigma=3638358349
2307819174811593592205993891347463027 B1=11000000, B2=35133391030, sigma=1625479878
4596095285214100242220197569824353539 B1=43000000, B2=240490660426, sigma=932689583
6988152968548703769225974807457265171 B1=260000000, B2=3178559884516, sigma=2309710422
24245534902866969623590433975330349403 B1=250000, B2=128992510, sigma=2292830870
38052356447826121580317560267442536451 B1=43000000, B2=240490660426, sigma=684281127
48320281086474337899932315955669036499 B1=43000000, B2=240490660426, sigma=2857021137
73157512368826052393125769431739302459 B1=260000000, B2=3178559884516, sigma=3583474268
79464060394975644214809090706086816853 B1=260000000, B2=3178559884516, sigma=3697972122
108170872899832181171943799499558717639 B1=850000000, B2=15892628251516, sigma=2589938327
268096620753598537265152880052986931161 B1=260000000, B2=3178559884516, sigma=3761768950
401240133972980946960221959312887293333 B1=250000, B2=128992510, sigma=998176979
768220096897658236065493556092750699123 B1=110000000, B2=776278396540, sigma=3695373434
1049851742416898972139087515499313057859 B1=3000000, B2=23415979870, sigma=2611834239
1291556365097665847287175060081024300899 B1=110000000, B2=776278396540, sigma=2775249864
2112869228455597583628592158390664894141 B1=1000000, B2=5704990210, sigma=3889300725
3066701668625813290440960889431301832173 B1=43000000, B2=240490660426, sigma=50495998
4058236198340011857045956418353858770783 B1=1000000, B2=5704990210, sigma=851558122
6392826983919826465879398593934107551357 B1=2000, B2=748686, sigma=738281533[0m
30899580435462147410542820672922039628357 B1=260000000, B2=3178559884516, sigma=3801717934
47193439481807353102194503186619241843003 B1=260000000, B2=15892040564416, sigma=3046796615
135497925480057847407054556039691766463679 B1=43000000, B2=240490660426, sigma=309338636
149365344241111979739406037718260451857227 B1=260000000, B2=3178559884516, sigma=1980161455
150738292651719770573995690985150856738877 B1=3000000, B2=23415979870, sigma=1553933401
251947480406003949481360216346086567530587 B1=260000000, B2=15892040564416, sigma=652441462
548919007893182187206689745806170366130783 B1=260000000, B2=3178559884516, sigma=3233464033
674742418672206420164230719021136256366863 B1=250000, B2=128992510, sigma=1913198759
853070055814922535105489834543493072444603 B1=43000000, B2=1164310596550, sigma=2627500655
1215666422974078739455530964256912318288897 B1=260000000, B2=3178559884516, sigma=3338498371
3277562293181128194260990545065401328568687 B1=43000000, B2=240490660426, sigma=2536969453
4587652646091163758459972453020531114599613 B1=260000000, B2=15892040564416, sigma=1330415661
6460724926242404313133972681735106778274913 B1=260000000, B2=3178559884516, sigma=1924221088
8046250925784969042614126355533952926212093 B1=260000000, B2=3178559884516, sigma=3459571605
11867444257312396824165348217581065703143719 B1=260000000, B2=3178559884516, sigma=2854942745
45362660495510097908382912248029535841110861 B1=260000000, B2=3178559884516, sigma=299252930
49299560160347535031711277269035587365809821 B1=43000000, B2=1164310596550, sigma=1799095596
89907190983847758057904316651715481382529749 B1=110000000, B2=776278396540, sigma=3310149905
144533136852072769368428143211690614383516673 B1=260000000, B2=3178559884516, sigma=3450325546
178017122422169925108642506952577102274076599 B1=110000000, B2=776278396540, sigma=196331785
349214381039244254840770713120092630482793407 B1=850000000, B2=15892628251516, sigma=1822885913
445181882248666695912249698657122382447573491 B1=110000000, B2=776278396540, sigma=3078698847
576594356491847765607100885339714678355690831 B1=260000000, B2=3178559884516, sigma=4040389037
1077885960566265499283380638224730498553961111 B1=43000000, B2=240490660426, sigma=3671394778
3351923235148378621283760995288404364517382861 B1=260000000, B2=15892040564416, sigma=2308665905
9336951683883073922629400330994417449641707571 B1=260000000, B2=3178559884516, sigma=1671074066
249189099714380420698937789850842663897905224827 B1=110000000, B2=776278396540, sigma=1147887321
613026312490700083568406474917391429566858959433 B1=260000000, B2=3178559884516, sigma=4228294871
1250794596241593146644897452717546805806973084613 B1=43000000, B2=240490660426, sigma=381808505
23357998026303717762526343652942598521105390790909 B1=43000000, B2=1164310596550, sigma=3476387187
71723686423433640381591900075479245638009733474409 B1=260000000, B2=3178559884516, sigma=4056461959
92961936886277006490094628597583160266697628297173 B1=110000000, B2=776278396540, sigma=913089086
94516621300981603324146100081946559919654713920279 B1=260000000, B2=3178559884516, sigma=1450713046
100000000000005000000000000000000000000000000000121 B1=7, B2=314159, sigma=867-5309
102773967015545110035072319299497167379332568354683 B1=260000000, B2=3178559884516, sigma=2585919543
358554847971751083950167495287357849832852032790553 B1=260000000, B2=15892040564416, sigma=397115982
378946970185354617982106217416531413581893374964107 B1=110000000, B2=776278396540, sigma=2516785670
10000000000000550000000000000000000000000000000000000009 B1=7, B2=314159, sigma=867-5309
22630320596212777239949971354349164035682841071031305313 B1=260000000, B2=15892040564416, sigma=866910281
10789634420987857010775029383748023977737397438325309257953 B1=43000000, B2=1164310596550, sigma=1206864881
1000000000000060000000000000000000000000000000000000000000139 B1=7, B2=314159, sigma=867-5309
91705161876935780310224331028073079804975656937213677975883323 B1=43000000, B2=240490660426, sigma=3202044384
100000000000006500000000000000000000000000000000000000000000000419 B1=7, B2=314159, sigma=867-5309
10000000000000700000000000000000000000000000000000000000000000000000111 B1=7, B2=314159, sigma=867-5309
